,Undergraduate Major,Annual Payment First 10YR,Starting Median Salary,Average Percent Of Salary
8,Chemical Engineering,2844.970588235294,63200.0,4.50153574087863
30,Industrial Engineering,2864.3389830508477,57700.0,4.964192344975473
38,Mechanical Engineering,2883.8723404255315,57900.0,4.980781244258258
13,Computer Science,2828.264150943396,55900.0,5.059506531204644
1,Aerospace Engineering,2944.4444444444443,57700.0,5.103023300596957
12,Computer Engineering,3241.538461538462,61400.0,5.279378601854172
10,Civil Engineering,2904.857142857143,53900.0,5.389345348529022
43,Physics,2715.1034482758623,50300.0,5.397819976691575
17,Economics,2767.370919881306,50100.0,5.52369445086089
35,Management Information Systems (MIS),2858.2941176470586,49200.0,5.8095408895265415
37,Math,2666.2677165354335,45400.0,5.872836380033995
2,Agriculture,2560.137931034483,42600.0,6.009713453132589
22,Finance,2951.6825396825398,47900.0,6.162176492030355
14,Construction,3410.0,53700.0,6.350093109869646
9,Chemistry,2773.506726457399,42600.0,6.510579170087791
33,International Relations,2710.619469026549,40900.0,6.627431464612589
42,Philosophy,2669.2857142857147,39900.0,6.689939133548157
41,Nutrition,2706.909090909091,39900.0,6.7842333105491
24,Geography,2830.4285714285716,41200.0,6.869972260748961
44,Political Science,2827.3502935420747,40800.0,6.929780131230576
23,Forestry,2723.3333333333335,39100.0,6.965046888320546
31,Information Technology (IT),3594.8727272727274,49100.0,7.32153304943529
0,Accounting,3382.257575757576,46000.0,7.352733860342557
28,History,2887.8709677419356,39200.0,7.367017774851877
25,Geology,3216.0,43500.0,7.393103448275862
36,Marketing,3026.8684210526317,40800.0,7.418795149638803
29,Hospitality & Tourism,2824.6511627906975,37800.0,7.472622123784914
6,Biology,2921.5619469026547,38800.0,7.529798832223336
20,English,2878.1282495667247,38000.0,7.574021709386118
3,Anthropology,2831.0718232044196,36800.0,7.6931299543598355
11,Communications,2935.304347826087,38100.0,7.704210886682643
47,Sociology,2943.6206896551726,36500.0,8.06471421823335
16,Drama,2929.326315789474,35900.0,8.1596833308899
4,Architecture,3396.5581395348836,41600.0,8.164803220035779
34,Journalism,2932.258064516129,35600.0,8.236679956505979
32,Interior Design,3001.714285714286,36100.0,8.314998021369213
7,Business Management,3603.7987421383646,43000.0,8.380927307298522
45,Psychology,3039.781420765027,35900.0,8.467357718008433
39,Music,3084.894736842105,35900.0,8.593021551092214
40,Nursing,4668.0,54200.0,8.612546125461254
18,Education,3034.6451612903224,34900.0,8.695258341806083
5,Art History,3161.25,35800.0,8.830307262569832
21,Film,3446.4905660377362,37900.0,9.093642654453129
46,Religion,3107.5999999999995,34100.0,9.113196480938415
19,Electrical Engineering,5638.763636363636,60900.0,9.259053590088072
26,Graphic Design,3572.326530612245,35700.0,10.006516892471275
15,Criminal Justice,3775.888111888112,35000.0,10.788251748251747
27,Health Care Administration,4320.0370370370365,38800.0,11.134116074837722
